id;beneficiary_ident;name;current_balance
1;d4ea7b6b-92af-4eb5-b72f-5453c22d01d9;Neodymium;10676
2;1f6928e3-a474-425d-ae88-09b6e9a1aa1d;moisturize;22038
3;4172162b-c27b-49d9-9794-b17a4f9c6cc3;deposit white Cobalt;25915
4;62088fb5-46c7-4851-ab38-b17b39747c71;synergize Flerovium host;28353
5;f9c12102-02c1-4d77-b84b-63230e05ddfd;notwithstanding;30816
6;9edf8336-45be-4ae5-9556-cc29e081705d;green Industrial culpa;818
7;ef646148-83b8-4b25-a551-0e2a1913ab2b;Bronze Market;29932
8;6296e346-0061-4d10-8a29-7b50ec2d7a59;joule hack Chicken;20202
9;8b148b44-9f09-4b3b-9431-56703706719b;Marketing Automotive blockchains;12222
10;bb21f938-f433-47bd-b4b2-1037759f5875;payment;31294
