id;transaction_ident;type;how;reason;note;amount;transaction_date
1;ff40deab-5f0f-44ac-b00e-26662d3656fc;stale Creek;rare;grey neural;Shoes index;22812;2023-08-20T20:18:06
2;1928e064-9d69-422b-86cf-9b47030ed2c7;indexing;vary;green World;woot North Music;16636;2023-08-20T19:44:45
3;fa00e469-77f5-4065-98f7-f25d777fafac;bypassing minimise lavender;Northeast invoice male;Legacy pink mole;by Wagon South;28260;2023-08-21T17:28:44
4;9d14d145-7d49-4176-b628-6c46842eab64;Land;Rubber Steel;Southeast;Indium;29488;2023-08-21T07:29:06
5;1259ac08-e64b-4b7b-a2a4-ffc51720f4c5;National quantify Chips;integrated Qatar frightfully;Cis;Northwest salmon;2421;2023-08-20T22:22:15
6;c61da208-23c8-44c7-9f67-bc0d1310b968;Japan border Berkshire;North;green yearn;Recycled;10400;2023-08-21T18:06:50
7;43cdf399-959f-4926-a45b-231260fcd93b;Convertible card encryption;Northeast anthropology;eligendi attitude South;withdrawal impeach;25996;2023-08-21T06:04:08
8;663dd892-ebbb-4744-a6ee-e42278fa0c69;Woman Northeast Computer;on;bandwidth;Personal Pants fiery;347;2023-08-21T00:49:03
9;2219bad6-66b6-41a3-ad76-c4b5eb67529a;Rubber Shoes;yum Florida;architect ammunition Unbranded;Sausages holistic Dollar;21934;2023-08-20T21:53:28
10;90d6aa32-69fb-4da7-a943-22b28d7ed704;Qatar;Investor innovate;orange Folding;Southeast Sedan;30226;2023-08-21T10:46:20
